Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,3047.000000,3059.949951,3025.000000,3028.250000,3008.217285,860367
2023-01-04,3035.000000,3050.000000,3001.550049,3016.850098,2996.892822,836382
2023-01-05,3039.550049,3046.600098,2995.399902,3004.350098,2984.475586,1113920
2023-01-06,3010.000000,3023.500000,2952.000000,2978.399902,2958.697021,1045526
2023-01-09,2993.300049,3017.649902,2951.000000,2984.149902,2964.408936,808263
2023-01-10,2984.149902,2985.000000,2952.199951,2960.350098,2940.766602,864325
2023-01-11,2974.899902,2974.899902,2935.000000,2940.399902,2920.948242,890426
2023-01-12,2939.000000,2939.850098,2896.000000,2915.949951,2896.660156,1558620
2023-01-13,2925.000000,2925.000000,2871.750000,2909.149902,2889.905029,1507864
2023-01-16,2925.000000,2929.600098,2896.000000,2916.050049,2896.759521,644073
2023-01-17,2925.000000,2944.850098,2911.149902,2940.899902,2921.445068,716489
2023-01-18,2947.949951,2960.000000,2929.350098,2945.250000,2925.766357,893808
2023-01-19,2954.899902,2973.600098,2843.600098,2866.149902,2847.189453,2379947
2023-01-20,2848.000000,2848.000000,2781.000000,2787.800049,2769.357910,3171005
2023-01-23,2800.000000,2800.000000,2767.850098,2784.449951,2766.030029,1402260
2023-01-24,2795.000000,2827.100098,2784.449951,2810.600098,2792.007080,1061471
2023-01-25,2810.899902,2811.000000,2767.100098,2775.000000,2756.642578,857953
2023-01-27,2766.600098,2772.850098,2685.850098,2722.649902,2704.638916,1801498
2023-01-30,2724.000000,2776.000000,2696.250000,2766.199951,2747.900879,1171912
2023-01-31,2760.000000,2779.949951,2718.050049,2725.850098,2707.817871,1961805
2023-02-01,2749.800049,2778.000000,2704.800049,2743.750000,2725.599365,1176872
2023-02-02,2741.000000,2741.000000,2694.000000,2705.649902,2687.751221,1308570
2023-02-03,2705.649902,2763.899902,2700.000000,2760.399902,2742.139160,1278409
2023-02-06,2760.399902,2765.000000,2718.000000,2754.199951,2735.980225,1120284
2023-02-07,2762.000000,2774.500000,2748.149902,2758.050049,2739.804688,732250
2023-02-08,2768.000000,2784.000000,2744.300049,2765.600098,2747.304932,811956
